X,Y,fid
78.5486186012027,35.5870874353085,"2"
78.3107944791624,34.0542484895616,"3"
80.6116203255762,32.7193909049911,"4"
82.7745327882809,29.7744468969326,"5"
81.3479881052752,34.1131821556304,"6"
82.7502822269713,31.9267738263527,"7"
85.6711718689549,30.3968518568843,"8"
83.1805014986223,30.6006774192613,"9"
84.412085800212,29.3389609104562,"10"
81.9054748121719,35.7994125132359,"11"
83.4507321749167,34.5198518088268,"12"
85.7791290700455,33.7176640280814,"13"
82.6746763312987,28.8078494860737,"14"
87.3458712696013,29.974900214174,"15"
87.2118984422004,34.4163454115412,"16"
80.2292392495487,30.0945465391682,"17"
83.9773952916049,27.8962021031583,"18"
85.1339920112318,27.7756364217053,"19"
83.8522133700675,32.570535912127,"20"
86.503077262631,27.6590882414187,"21"
87.9791155613055,27.3033529290234,"22"
86.890581607042,33.0570270097789,"23"
88.1473590642321,33.8689564169612,"24"
87.6670771779025,32.2479835929978,"25"
86.7164030826819,32.1311074349499,"26"
91.1101494455026,29.0613668041486,"27"
90.3974679264287,27.209800762873,"28"
93.9769254399333,28.7545678478669,"30"
76.0586878352672,33.8916134110489,"31"
86.1290067145734,36.0313021573406,"32"
90.5218418731527,31.7022376262939,"34"
91.025304527655,31.6856555935607,"35"
98.8757631837266,28.007849291614,"36"
97.7996820515926,28.0156473350885,"37"
89.5287887816246,30.4407823468268,"38"
90.2588478562064,33.7088781551863,"39"
78.8549622012894,36.7489364334956,"40"
82.9876678825406,39.1706784547349,"41"
82.6242343680942,36.4439547614525,"42"
94.3862338606234,30.9031213082629,"43"
100.073387887083,27.0928405973519,"44"
100.025300652175,26.2633133599936,"45"
100.354567621512,26.3205308658133,"46"
100.371420557559,25.627887822593,"47"
100.494629885802,25.8342765505499,"48"
99.3330728014661,29.5523065288439,"49"
100.252917094238,28.5205564420954,"50"
76.0048830496561,38.0925014393733,"51"
102.519501382229,28.1240461029214,"52"
101.779999929803,28.4551284370132,"53"
101.28851007955,26.3166342546794,"54"
102.830954231252,25.4403430366855,"55"
102.37047927264,27.4843898324545,"57"
102.465327643773,25.8223055621894,"58"
99.264020329763,25.0268157913448,"59"
99.6774707987514,24.4630276305347,"60"
102.100369232947,25.8449670678204,"61"
103.468486332157,30.1165918490623,"62"
102.639246992843,31.2942746572593,"63"
101.428988986253,24.6306364937227,"64"
103.056268123734,24.9432699328383,"65"
102.500672159173,23.9588806172206,"66"
102.405964331894,23.5986906530999,"67"
78.1063008278226,22.5574249580082,"68"
96.6917727497917,31.4930541397189,"69"
93.8298076623214,33.3838803903067,"70"
99.1535827592373,31.4055130601796,"71"
100.77175776809,30.3691250129697,"72"
97.505570485523,27.2371746026516,"73"
98.8756704023303,25.524583627987,"74"
98.4494299059943,26.123829082239,"75"
99.5212503449578,25.9915760311133,"76"
98.7820772927631,24.5147105152933,"77"
98.301222449309,24.5694831500206,"78"
98.1856092745135,25.2678708069497,"79"
97.0195164875531,25.9984053518555,"80"
96.1693689295519,27.7297611435491,"81"
96.8722199867015,24.515830591264,"82"
97.7695744950524,25.2780255101177,"83"
98.3304920304355,23.6683875867888,"84"
97.2388570617902,23.6548686970653,"85"
97.6582051744246,24.2525315032883,"86"
97.846868283115,23.8117346135901,"87"
97.7868467579138,23.0904037724037,"88"
96.6794589384809,26.1933583895544,"89"
96.1462361423966,25.2219308439513,"90"
94.2986460011763,23.6402445407799,"91"
95.6048326096959,33.8661110483038,"92"
96.8247409939107,33.9977154063499,"93"
92.6038651702068,26.3385259809106,"94"
103.362250407486,27.7625245751997,"95"
103.096508856071,23.5304993612257,"96"
103.459768871383,25.0982805200503,"97"
105.891332474617,28.7183091172655,"98"
101.35288583836,23.9095703120815,"99"
102.494298995639,22.9777342142957,"100"
93.1822211217156,23.6907030575991,"101"
95.0850176243601,23.1835763676644,"102"
89.1007863236731,38.5512623849055,"103"
94.2204985019724,37.19072621099,"104"
85.1986453715103,37.0101971360145,"105"
74.200713621186,37.8297442104892,"106"
72.0601262368656,38.6629079879844,"107"
99.7613941980732,34.0372637055462,"108"
104.113726701345,32.4542498676912,"109"
104.663061055695,33.2797098873242,"110"
104.062369070397,34.4830363957929,"111"
102.342809128247,35.8920167971109,"112"
104.676740774302,37.078077597686,"113"
101.038087949549,37.5530871285112,"114"
100.638625064893,38.724961410489,"115"
101.393012924325,35.9744615941359,"116"
100.245729551865,36.0516425664681,"117"
99.5972027214926,37.3165628074779,"118"
101.928580903829,36.8439223731268,"119"
104.632461083285,35.8061803420259,"120"
101.678155244177,37.5388155334702,"121"
99.268691397337,38.8189691325005,"122"
